"GEOID","county","state","Grains..oilseeds..dry.beans..and.dry.peas","Tobacco","Cotton.and.cottonseed","Vegetables..melons..potatoes..and.sweet.potatoes","Fruits..tree.nuts..and.berries","Nursery..greenhouse..floriculture..and.sod","Cut.Christmas.trees.and.short.rotation.woody.crops","Other.crops.and.hay","Poultry.and.eggs","Cattle.and.calves","Milk.from.cows","Hogs.and.pigs","Sheep..goats..wool..mohair..and.milk","Horses..ponies..mules..burros..and.donkeys","Aquaculture","Other.animals.and.other.animal.products","Other","farmentropy","Number.of.Farms","Land.in.Farms","Average.Size.of.Farm","Market.Value.of.Products.Sold","Average.Per.Farm","Government.Payments","Average.Per.Farm.Receiving.Payments","Number.of.Farms.07","Land.in.Farms.07","Average.Size.of.Farm.07","Market.Value.of.Products.Sold.07","Average.Per.Farm.07","Government.Payments.07","Average.Per.Farm.Receiving.Payments.07","spendingperacre","spendingperfarm","changenumfarms","changelandfarms","dominantcomm"
"17109","McDonough","Illinois",184770,NA,NA,63,NA,246,NA,528,11,10928,NA,12361,134,91,NA,5,16,0.465947645781078,740,292044,395,209153000,282640,6739000,11907,761,307725,404,148462000,195088,5135000,8854,1.36314716821906,4.07580235362683,-21,-15681,1
"17111","McHenry","Illinois",125466,NA,NA,NA,1121,18364,380,NA,NA,8862,11709,4346,277,922,NA,2167,8819,1.18060373517809,911,234211,257,182433000,200256,4732000,13636,1035,215584,208,156524000,151231,4280000,13292,1.30543744758029,4.13468699255685,-124,18627,1
"17113","McLean","Illinois",441659,NA,NA,555,86,574,NA,957,NA,5849,15367,35361,143,173,NA,191,82,0.495328212009423,1489,692291,465,500997000,336466,13140000,10797,1513,675984,447,366547000,242265,12275000,10420,1.27830667954002,4.03330310137257,-24,16307,1
"17115","Macon","Illinois",200408,NA,NA,319,NA,NA,97,343,6,4635,NA,NA,8,95,NA,NA,5415,0.255883747101126,674,336576,499,211326000,313540,5762000,10670,708,290603,410,156796000,221463,5131000,9772,1.23349010914705,4.02816441942447,-34,45973,1
"17117","Macoupin","Illinois",178847,NA,NA,33,379,391,2,717,68,18947,3915,18247,85,111,NA,37,0,0.71320036415787,1190,438592,369,221779000,186369,8416000,8953,1187,394228,332,184297000,155263,6846000,7649,1.28304502100838,3.95196858449291,3,44364,1
"17119","Madison","Illinois",109135,NA,NA,6520,NA,NA,37,1090,46,7110,6216,NA,NA,1260,NA,206,10118,0.91225878134519,1110,307135,277,141738000,127692,4518000,6694,1229,312936,255,131927000,107345,4419000,5939,1.16761691668394,3.82568570802176,-119,-5801,1
"17121","Marion","Illinois",50501,NA,NA,NA,382,NA,8,560,NA,NA,NA,NA,47,311,NA,50,16907,0.675387022482766,1152,266828,232,68766000,59693,5884000,6181,1077,260679,242,78261000,72666,5471000,6444,1.34344126307094,3.79105874359183,75,6149,1
"17123","Marshall","Illinois",129296,NA,NA,1078,NA,NA,NA,322,7,NA,478,NA,9,51,NA,NA,4903,0.245273804322014,440,209094,475,136144000,309417,4416000,11713,500,204584,409,100643000,201285,3614000,8858,1.32468749390384,4.0686681432859,-60,4510,1
"17125","Mason","Illinois",164107,NA,NA,12645,NA,1186,NA,NA,7,NA,NA,19305,26,NA,NA,4,3887,0.673196617786829,490,289841,592,201167000,410544,5881000,14275,447,273362,612,121608000,272053,4605000,12056,1.30729135998426,4.15457611691789,43,16479,1
"17127","Massac","Illinois",30988,NA,NA,NA,NA,380,NA,597,2,NA,NA,4627,51,18,NA,NA,2799,0.749554074855382,412,102249,248,39462000,95782,2256000,8205,400,89693,224,22249000,55622,1578000,5675,1.34368002603149,3.91407858538911,12,12556,1
"17129","Menard","Illinois",79184,NA,NA,271,NA,NA,NA,190,NA,2546,NA,2069,NA,48,NA,21,223,0.311771959893252,369,157755,428,84552000,229138,2978000,10375,411,168594,410,80744000,196457,3017000,9489,1.27594156044137,4.01598810538413,-42,-10839,1
"17131","Mercer","Illinois",177050,NA,NA,65,NA,NA,NA,746,4,4912,241,33261,85,133,NA,18,337,0.587066404511708,715,251998,352,216852000,303290,6391000,11433,785,306306,390,145788000,185717,6103000,9955,1.40417172356229,4.05816020349183,-70,-54308,1
"17133","Monroe","Illinois",87045,NA,NA,NA,67,1194,NA,NA,NA,2064,5449,13197,70,359,NA,56,2229,0.825777240196429,563,193201,343,111730000,198455,2792000,7290,678,178134,263,62887000,92754,2774000,6452,1.15990604397642,3.86272752831797,-115,15067,1
"17135","Montgomery","Illinois",178101,NA,NA,NA,84,NA,NA,315,68,3665,2127,42263,110,264,NA,67,192,0.648517050741736,1021,382388,375,227256000,222582,7252000,8812,1029,347765,338,150029000,145801,5883000,7263,1.27795354052118,3.94507448847873,-8,34623,1
"17137","Morgan","Illinois",172802,NA,NA,197,NA,NA,NA,403,14,18173,NA,9507,NA,NA,NA,10,758,0.535026180948502,757,309158,408,201864000,266663,5870000,9933,740,320512,433,149517000,202050,5226000,9153,1.27845761214359,3.99708043547173,17,-11354,1
"17139","Moultrie","Illinois",122126,NA,NA,886,NA,450,NA,305,1457,2052,2393,282,76,293,NA,261,103,0.368731278848318,553,204987,371,130684000,236318,3550000,10858,520,167791,323,90745000,174510,2890000,8680,1.2385020334983,4.03574983731966,33,37196,1
"17141","Ogle","Illinois",243084,NA,NA,1482,108,1432,46,1028,NA,37731,4823,33037,196,128,NA,NA,555,0.850526357943046,1148,376422,328,323650000,281925,9746000,12243,1274,366470,288,258747000,203098,8579000,9639,1.41315140918859,4.08788784949293,-126,9952,1
"17143","Peoria","Illinois",159303,NA,NA,1624,313,1162,118,1071,28,10335,NA,NA,73,279,NA,44,13007,0.616498317831856,917,250263,273,187357000,204315,4738000,8003,877,259204,296,126270000,143980,4239000,7148,1.27719841006906,3.90325281689396,40,-8941,1
"17145","Perry","Illinois",39602,NA,NA,30,24,23,NA,514,NA,3742,1303,22,23,58,NA,11,38,0.51411159914996,560,180635,323,45390000,81053,2310000,5225,589,200354,340,41452000,70377,2957000,6238,1.10681007647192,3.71808629478309,-29,-19719,1
"17147","Piatt","Illinois",183461,NA,NA,7,37,47,20,117,7,NA,NA,NA,19,40,NA,4,3223,0.101746099758893,426,259048,608,186982000,438924,4294000,12305,480,267265,557,146500000,305208,4850000,12566,1.21948179646808,4.09008161803882,-54,-8217,1
"17149","Pike","Illinois",141650,NA,NA,NA,NA,NA,NA,NA,NA,5673,NA,73881,30,30,NA,4,10932,0.902925019452064,970,411446,424,232200000,239382,9067000,11837,967,389808,403,170876000,176708,6532000,8768,1.34315077117781,4.073241647612,3,21638,1
"17151","Pope","Illinois",9475,NA,NA,NA,NA,NA,NA,726,NA,2307,NA,11,6,NA,NA,NA,166,0.758237352889104,349,77997,223,12691000,36363,1251000,5416,346,60809,176,5394000,15589,934000,4384,1.20517941095809,3.73367865567709,3,17188,1
"17153","Pulaski","Illinois",26665,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1615,0.232859333995981,230,82158,357,28334000,123192,1604000,9664,276,101189,367,29463000,106751,1798000,8729,1.2905545054078,3.98515692127706,-46,-19031,1
"17155","Putnam","Illinois",NA,NA,NA,853,NA,NA,NA,27,1,NA,NA,NA,NA,83,NA,NA,80695,0.0691776824360266,183,60135,329,81659000,446222,1727000,11145,167,62705,375,64903000,388638,1456000,10702,1.45816502226126,4.04708007281626,16,-2570,17
"17157","Randolph","Illinois",92192,NA,NA,NA,67,NA,NA,650,100,6640,3991,589,48,NA,NA,NA,105,0.492423549823534,793,278596,351,104382000,131629,4034000,6931,833,252926,304,73475000,88206,3450000,5494,1.16076101721737,3.84079589884709,-40,25670,1
"17159","Richland","Illinois",43301,NA,NA,78,94,99,NA,300,6598,1509,3515,25750,NA,86,NA,NA,58,1.16885356538915,554,188883,341,81388000,146910,5909000,12987,579,202860,350,82521000,142524,3419000,7321,1.49532111802092,4.11350884053282,-25,-13977,1
"17161","Rock Island","Illinois",87984,NA,NA,249,NA,959,NA,640,NA,4427,886,5064,NA,340,NA,28,857,0.603591221044791,666,149186,224,101434000,152303,3369000,7571,700,178623,255,95306000,136152,4037000,8701,1.35377294124946,3.87915324618425,-34,-29437,1
"17163","St. Clair","Illinois",97671,NA,NA,1989,NA,3812,NA,322,NA,4680,4585,3206,71,113,NA,30,2702,0.806185619953962,732,251931,344,119181000,162816,4174000,8216,895,306533,342,125629000,140368,5099000,7930,1.21927083419603,3.91466043058922,-163,-54602,1
"17165","Saline","Illinois",38007,NA,NA,NA,NA,NA,NA,338,3635,2516,150,12952,75,759,NA,NA,228,1.05343196064808,483,139854,290,58660000,121448,1878000,5708,497,117233,236,41962000,84430,1779000,5457,1.12802069567743,3.75648396444261,-14,22621,1
"17167","Sangamon","Illinois",335031,NA,NA,198,NA,567,NA,421,38,5247,1109,13106,77,1678,NA,594,287,0.330141296108755,1092,514043,471,358353000,328162,9359000,11832,1153,518153,449,294034000,255016,9235000,11946,1.26022999777196,4.07305816098884,-61,-4110,1
"17169","Schuyler","Illinois",52004,NA,NA,NA,29,51,NA,609,NA,3320,NA,21555,NA,161,NA,NA,701,0.861559170934241,542,182093,336,78430000,144704,3899000,8439,534,207457,388,65360000,122398,3377000,7605,1.33065998417508,3.92629098688486,8,-25364,1
"17171","Scott","Illinois",75876,NA,NA,NA,NA,42,NA,191,11,NA,NA,NA,24,8,NA,3,13027,0.439739219958745,356,147532,414,89182000,250510,2904000,10260,350,135731,388,54482000,155664,2105000,8843,1.29411038211305,4.0111473607758,6,11801,1
"17173","Shelby","Illinois",174406,NA,NA,NA,39,464,NA,826,15,11892,6888,19559,81,43,NA,19,73,0.702271236605731,1282,405783,317,214305000,167165,8301000,8462,1185,387288,327,203346000,171600,6153000,6929,1.31083656525112,3.92747302099528,97,18495,1
"17175","Stark","Illinois",122747,NA,NA,2626,26,NA,NA,79,2,3637,NA,3502,NA,8,NA,NA,340,0.367658491261917,348,168127,483,132967000,382089,3634000,12277,372,169775,456,86958000,233758,3650000,11888,1.33474745932785,4.08909225584272,-24,-1648,1
"17177","Stephenson","Illinois",NA,NA,NA,69,87,30,16,NA,NA,41241,47949,NA,250,682,NA,11,222823,0.821391561495271,1087,352481,324,313158000,288094,9449000,11870,1178,337932,287,246797000,209505,7527000,9157,1.42825013707353,4.07445071895459,-91,14549,17
"17179","Tazewell","Illinois",224451,NA,NA,8390,92,NA,NA,698,NA,6838,2067,19800,111,NA,NA,26,1232,0.62172911913656,942,337376,358,263705000,279942,6853000,9387,998,329268,330,184835000,185206,6352000,8549,1.3077665469795,3.97252681786586,-56,8108,1
"17181","Union","Illinois",23443,NA,NA,2413,3505,701,13,845,17,2196,NA,4,NA,187,NA,56,519,1.13844557843894,623,121173,194,33899000,54412,2516000,6913,620,122362,197,25729000,41498,1883000,5048,1.31730477649176,3.83966655688243,3,-1189,1
"17183","Vermilion","Illinois",269808,NA,NA,70,NA,993,NA,342,24,7561,271,4105,114,234,NA,24,54,0.254186200305637,956,434406,454,283600000,296653,7122000,9783,1014,457375,451,223968000,220875,8500000,10625,1.2147061542563,3.99047205352562,-58,-22969,1
"17185","Wabash","Illinois",41174,NA,NA,NA,NA,NA,NA,NA,4,404,NA,NA,NA,8,NA,NA,1902,0.234617888676515,213,106424,500,43492000,204188,1690000,10182,225,114361,508,40545000,180199,1774000,10022,1.2008471265399,4.00783309270132,-12,-7937,1
"17187","Warren","Illinois",238625,NA,NA,NA,NA,NA,NA,340,25,13005,514,20772,1090,109,NA,16,65,0.510187491617386,605,338411,559,274561000,453820,6194000,13236,644,294907,458,168197000,261176,5320000,9963,1.26252672974581,4.12175675848782,-39,43504,1
"17189","Washington","Illinois",92676,NA,NA,131,166,303,NA,NA,4,9674,25926,14324,37,2,NA,8,1537,1.08158599576573,777,354899,457,144788000,186343,6187000,9318,779,353903,454,142418000,182821,5543000,8164,1.24137534038358,3.9693227061122,-2,996,1
"17191","Wayne","Illinois",NA,513,NA,NA,49,NA,NA,499,5158,14959,688,23846,24,132,NA,105,104301,0.969250383473237,1187,368518,310,150274000,126600,7260000,7181,1233,333255,270,119097000,96591,7093000,6820,1.2944779151814,3.85618492672717,-46,35263,17
"17193","White","Illinois",122041,NA,NA,NA,52,NA,NA,166,124,1856,NA,5074,19,135,NA,12,1420,0.328129237371935,582,310890,534,130899000,224912,4491000,9679,481,296989,617,102685000,213483,4872000,12525,1.1597363021886,3.98583048985839,101,13901,1
"17195","Whiteside","Illinois",328617,NA,NA,5361,NA,2632,NA,558,1331,49004,3553,43912,144,449,NA,49,50,0.851973698130758,1110,403242,363,435660000,392487,11400000,13118,1132,405333,358,280778000,248037,8643000,9822,1.45133909124651,4.11786762656602,-22,-2091,1
"17197","Will","Illinois",142364,NA,NA,3369,139,11943,NA,NA,251,1259,2104,3973,107,1899,NA,150,1542,0.708935929618389,882,234249,266,169100000,191723,3639000,7727,877,220851,252,127597000,145492,3392000,7588,1.19130431000895,3.88801091224503,5,13398,1
"17199","Williamson","Illinois",15389,NA,NA,154,274,20,12,837,NA,1724,NA,NA,26,96,NA,27,3927,1.02099789643136,702,103421,147,22486000,32031,1392000,4244,616,94124,153,16216000,26324,1383000,4753,1.12903050253099,3.6277753752293,86,9297,1
"17201","Winnebago","Illinois",78836,NA,NA,353,NA,4143,NA,493,NA,11375,8547,1792,NA,173,NA,172,496,0.948597094063452,807,182905,227,106380000,131822,5109000,10279,860,183615,214,89906000,104542,4068000,8319,1.44611032491099,4.0119508660594,-53,-710,1
"17203","Woodford","Illinois",186122,NA,NA,NA,NA,1306,NA,669,NA,NA,1023,23990,294,461,NA,10,26771,0.761350020996428,958,322983,337,240646000,251196,6107000,8046,932,288400,309,177538000,190492,5461000,7451,1.27664825587061,3.90558002823524,26,34583,1
"18001","Adams","Indiana",117228,NA,NA,NA,NA,1159,NA,1402,35849,22559,31293,39447,154,NA,NA,NA,1195,1.48566312216872,1476,210227,142,250286000,169570,3765000,6784,1315,182490,139,158800000,120760,3446000,5302,1.2530764876933,3.83148583924866,161,27737,1
"18003","Allen","Indiana",144012,NA,NA,447,NA,3106,124,1502,1707,15693,6988,11246,156,2406,NA,130,122,0.941924600520083,1725,270808,157,187639000,108776,6302000,6956,1649,254136,154,117515000,71264,5533000,5473,1.36681690904446,3.84235957333068,76,16672,1
"18005","Bartholomew","Indiana",82862,75,NA,1923,NA,146,NA,452,17,2018,1610,5218,92,NA,NA,2,1145,0.61356820180579,623,171601,275,95560000,153386,4647000,11706,668,166356,249,69478000,104009,3817000,8836,1.43265285811993,4.06840851977816,-45,5245,1
"18007","Benton","Indiana",170134,NA,NA,NA,NA,NA,NA,352,3,2778,NA,NA,125,25,NA,1,37465,0.553603881667979,381,254245,667,210883000,553500,4782000,14759,399,270810,679,138413000,346900,5606000,15358,1.27435715096673,4.16905693274485,-18,-16565,1
"18009","Blackford","Indiana",58009,NA,NA,NA,NA,NA,NA,157,4,NA,NA,11735,51,42,NA,NA,1476,0.569715181782252,263,88010,335,71474000,271765,1380000,7931,250,84626,339,38569000,154275,1478000,8444,1.19534706540926,3.89932794987765,13,3384,1
"18011","Boone","Indiana",126359,NA,NA,118,18,1979,NA,NA,NA,2772,NA,8373,77,450,NA,19,5810,0.580601336791407,607,221703,365,145975000,240486,3428000,10326,582,222706,383,117084000,201175,3717000,11096,1.18926924339048,4.0139321207112,25,-1003,1
"18013","Brown","Indiana",NA,NA,NA,76,NA,277,NA,224,5,283,NA,NA,16,48,NA,NA,3307,0.859792846901516,173,14590,84,4236000,24485,156000,3190,169,16959,100,2494000,14757,110000,2548,1.02906930646101,3.50379068305718,4,-2369,17
"18015","Carroll","Indiana",134854,NA,NA,122,NA,465,NA,654,NA,5474,NA,79228,164,NA,NA,12,459,0.814195840165023,491,204090,416,221432000,450981,3497000,11172,581,192334,331,151361000,260518,4118000,10398,1.23387390662901,4.04813092702897,-90,11756,1
"18017","Cass","Indiana",119151,NA,NA,2602,NA,NA,NA,NA,20,NA,NA,17024,180,83,NA,7,19366,0.791622320519083,688,200257,291,158433000,230280,4080000,8095,868,228199,263,131418000,151403,4632000,7182,1.30907245726874,3.90821685308939,-180,-27942,1
"18019","Clark","Indiana",20848,NA,NA,1361,NA,1190,NA,651,2960,1664,557,NA,68,NA,NA,14,2832,1.28929974805864,515,78545,153,32145000,62417,1034000,4171,585,86668,148,23749000,40597,1078000,3536,1.11940199472278,3.62024018984583,-70,-8123,1
"18021","Clay","Indiana",55038,NA,NA,NA,20,NA,14,231,10,1113,985,NA,13,NA,NA,5,2833,0.397488730635831,579,162883,281,60262000,104080,2433000,5530,666,157563,237,63855000,95878,2706000,5434,1.17426634930898,3.7427251313047,-87,5320,1
"18023","Clinton","Indiana",178172,NA,NA,46,NA,179,NA,177,NA,743,NA,NA,148,58,NA,11,71978,0.638060410246339,597,223428,374,251512000,421293,4216000,10158,693,255314,368,174442000,251720,5321000,12176,1.27576300422391,4.00680820849258,-96,-31886,1
"18025","Crawford","Indiana",NA,NA,NA,74,NA,28,NA,NA,17,1295,NA,2538,10,24,NA,6,3215,1.15295574377868,338,46404,137,7207000,21323,288000,2879,354,45401,128,4707000,13297,252000,1879,0.792837069638541,3.45924166487808,-16,1003,17
"18027","Daviess","Indiana",76787,NA,NA,1476,NA,593,NA,639,74628,9140,6013,18745,343,1489,NA,NA,282,1.35067325489566,1325,225156,170,190135000,143498,3949000,12417,969,199367,206,166800000,172137,3049000,7962,1.24400360912126,4.09401668112042,356,25789,1
"18029","Dearborn","Indiana",7245,NA,NA,31,NA,NA,13,982,14,1753,984,NA,54,256,NA,NA,1117,1.34155261152662,561,56573,101,12449000,22191,650000,3422,564,65830,117,11501000,20391,558000,2376,1.06030414716354,3.53428000520508,-3,-9257,1
"18031","Decatur","Indiana",91190,NA,NA,115,NA,337,NA,735,12,NA,NA,46813,64,46,NA,NA,20077,0.989534914352571,610,186528,306,159389000,261294,3721000,8233,639,204702,320,153278000,239871,4444000,10657,1.29991563638218,3.91555811541152,-29,-18174,1
"18033","DeKalb","Indiana",68777,NA,NA,115,NA,NA,NA,1048,42,28626,5005,NA,93,121,NA,NA,3115,0.952536132020704,924,160894,174,106942000,115738,4689000,6896,1144,160665,140,62413000,54557,4577000,5219,1.46454038388828,3.83859725281666,-220,229,1
"18035","Delaware","Indiana",112220,NA,NA,908,NA,3268,NA,549,26,947,1053,NA,47,95,NA,55,6392,0.496834848802795,610,175266,287,125560000,205836,3980000,9684,659,154470,234,68608000,104109,2670000,6934,1.35618539696408,3.9860547807697,-49,20796,1
"18037","Dubois","Indiana",51277,NA,NA,28,NA,494,NA,716,153714,10514,8247,15898,33,NA,NA,23,70,1.0830591204046,720,174877,243,241014000,334742,3256000,7124,761,182175,239,200724000,263763,2992000,6120,1.26995170183238,3.85272391079121,-41,-7298,9
"18039","Elkhart","Indiana",74045,NA,NA,3234,NA,3422,NA,NA,90648,31350,65033,23331,730,NA,NA,NA,5041,1.66324447284226,1724,172847,100,296834000,172178,2785000,8027,1617,163295,101,205755000,127245,1909000,4482,1.20716335335046,3.90455326297677,107,9552,9
"18041","Fayette","Indiana",32255,NA,NA,NA,15,NA,NA,NA,9,1386,NA,NA,53,85,NA,2,6326,0.610190586725849,347,78242,225,40131000,115652,1421000,6702,391,92505,237,34165000,87377,1777000,7166,1.25915413469263,3.82620442349925,-44,-14263,1
"18043","Floyd","Indiana",3033,NA,NA,265,47,NA,NA,NA,4,NA,NA,NA,51,37,NA,9,1158,0.940202276188121,277,21463,77,4604000,16623,299000,4533,279,23997,86,4757000,17050,190000,2260,1.1439807627548,3.65638571905869,-2,-2534,1
"18045","Fountain","Indiana",113189,NA,NA,NA,11,NA,NA,698,59,1594,NA,NA,54,18,NA,NA,1053,0.170817426072849,460,214412,466,116676000,253643,3690000,11642,503,188727,375,76524000,152136,3121000,9693,1.23577727829158,4.06602759494886,-43,25685,1
"18047","Franklin","Indiana",40777,NA,NA,135,82,608,NA,838,26,4544,2617,4039,62,79,NA,60,152,0.946115577181345,727,124960,172,54019000,74304,2101000,4670,723,126322,175,35690000,49364,2070000,4726,1.22565503587273,3.66931688056611,4,-1362,1
"18049","Fulton","Indiana",117795,NA,NA,610,NA,NA,NA,937,8,3050,10370,7510,124,106,NA,11,177,0.658696328994174,653,188411,289,140698000,215464,3180000,7970,639,184847,289,88856000,139054,3346000,7709,1.22732086537129,3.90145832139611,14,3564,1
"18051","Gibson","Indiana",125217,NA,NA,1416,NA,1282,NA,NA,NA,NA,6029,7677,27,29,NA,4,4710,0.620090708259634,589,268146,455,146391000,248542,4803000,11546,590,231082,392,105258000,178404,3902000,8887,1.25314126376943,4.06243155316261,-1,37064,1
"18053","Grant","Indiana",120433,NA,NA,3740,NA,NA,NA,NA,NA,NA,NA,7544,56,4,NA,NA,6205,0.518384851051212,500,183380,367,137982000,275965,3298000,9643,524,202138,386,79261000,151261,3292000,9043,1.25489868291493,3.98421216676143,-24,-18758,1
"18055","Greene","Indiana",NA,NA,NA,91,3,73,12,NA,22488,NA,894,NA,87,66,NA,10,73648,0.618246013748694,810,181086,224,97372000,120212,2470000,7484,799,169750,212,78765000,98579,2288000,7082,1.13481207753297,3.87413377882797,11,11336,17
"18057","Hamilton","Indiana",85140,NA,NA,269,NA,26755,NA,428,NA,1097,NA,1657,112,326,NA,118,263,0.749230376533376,598,130854,219,116165000,194255,1833000,6941,636,123600,194,114976000,180780,1865000,7580,1.14637546208738,3.84142204440236,-38,7254,1
"18059","Hancock","Indiana",90538,NA,NA,236,NA,1047,43,546,82,782,NA,16640,190,248,NA,10,62,0.604708434644502,604,165861,275,110424000,182820,3001000,9775,686,171673,250,86810000,126545,2924000,7818,1.2575217159463,3.9901167660679,-82,-5812,1
"18061","Harrison","Indiana",24935,NA,NA,NA,177,777,NA,1160,17677,10598,NA,NA,96,98,NA,48,2423,1.34931261955547,967,134995,140,57989000,59968,1556000,4150,1125,154998,138,50160000,44587,2201000,5094,1.06169190943735,3.61804809671209,-158,-20003,1
"18063","Hendricks","Indiana",78140,NA,NA,704,NA,2754,NA,491,NA,1605,387,4453,101,NA,NA,20,713,0.584665220975964,694,218398,315,89368000,128772,3783000,11258,714,171741,241,74027000,103680,2557000,7348,1.23858768433395,4.05146124432418,-20,46657,1
"18065","Henry","Indiana",84624,NA,NA,NA,NA,31,NA,683,13,5988,14354,8353,178,404,NA,10,826,0.929892590876977,702,176451,251,115464000,164478,3282000,8005,781,174400,223,86314000,110517,3109000,6862,1.26951445273885,3.90336133625532,-79,2051,1
"18067","Howard","Indiana",112831,NA,NA,NA,NA,NA,NA,407,53,NA,1420,22566,134,40,NA,NA,2909,0.625050846166076,476,144191,303,140360000,294874,2993000,9384,601,162281,270,95585000,159044,3371000,8183,1.31716856306093,3.97238799910747,-125,-18090,1
"18069","Huntington","Indiana",114097,NA,NA,20,NA,NA,NA,NA,25786,NA,12597,14665,148,248,NA,NA,7266,1.10674210564598,695,188848,272,174827000,251550,4185000,8404,766,199070,260,122410000,159804,3716000,6757,1.34558307254918,3.92448604373392,-71,-10222,1
"18071","Jackson","Indiana",73183,NA,NA,1451,46,NA,10,1192,80493,6810,3994,14854,61,278,NA,40,2031,1.27352208776859,744,183878,247,184443000,247907,3876000,7816,827,209293,253,196943000,238141,3979000,7381,1.323853996999,3.89298455071072,-83,-25415,9
"18073","Jasper","Indiana",202477,NA,NA,NA,NA,1168,NA,2214,NA,26879,97598,NA,116,NA,NA,3,26947,1.11877602223402,615,282831,460,357402000,581141,4736000,10572,734,340339,464,293544000,399924,5965000,10985,1.22388468466111,4.02415715445967,-119,-57508,1
"18075","Jay","Indiana",97860,NA,NA,NA,7,104,NA,NA,109737,8122,6622,57818,138,224,NA,24,1320,1.2882149587025,836,175770,210,281976000,337292,3621000,6706,881,197225,224,178664000,202797,4112000,6497,1.31388377208983,3.8264635490928,-45,-21455,9
"18077","Jefferson","Indiana",28020,1761,NA,NA,237,54,NA,NA,23,2351,NA,NA,123,96,NA,22,7741,0.951809439908651,615,95411,155,40428000,65736,1907000,5813,694,102514,148,27012000,38922,1270000,3825,1.30075224534501,3.76440032295639,-79,-7103,1
"18079","Jennings","Indiana",45158,119,NA,98,39,273,3,405,NA,NA,455,6887,40,67,NA,29,26111,1.0095616968784,528,123391,234,79684000,150916,3214000,10608,613,138331,226,63085000,102912,2082000,5947,1.4157623885233,4.0256335110607,-85,-14940,1
"18081","Johnson","Indiana",60245,NA,NA,513,12,NA,36,NA,16,2638,NA,NA,128,1166,NA,109,5710,0.59364195943032,562,144646,257,70573000,125575,2779000,9787,585,142181,243,69789000,119297,2754000,9663,1.28358211848537,3.99064958831885,-23,2465,1
"18083","Knox","Indiana",155032,NA,NA,25055,235,1130,NA,NA,22626,NA,NA,10076,28,11,NA,NA,3862,0.976022440439737,496,329289,664,218055000,439626,5837000,16215,568,327267,576,192012000,338049,5634000,13163,1.24861247009626,4.20991695300899,-72,2022,1
"18085","Kosciusko","Indiana",128390,NA,NA,666,121,869,NA,2497,91237,15602,15838,25871,168,423,NA,421,1,1.36542449118476,1247,254847,204,282104000,226226,4140000,6418,1235,251340,204,196147000,158823,4684000,6848,1.21072081558038,3.80739971275949,12,3507,1
"18087","LaGrange","Indiana",60581,NA,NA,3998,145,1224,NA,NA,61652,69643,44618,NA,396,6105,NA,NA,14201,1.67971135914054,2419,204092,84,262563000,108542,2276000,7512,1507,161709,107,171221000,113617,1955000,5299,1.04734627615223,3.87575557925805,912,42383,10
"18089","Lake","Indiana",93586,NA,NA,1933,NA,2512,NA,386,15,574,1192,53,39,25,NA,9,457,0.375553667612147,430,133064,309,100781000,234375,2419000,11463,441,128439,291,62123000,140869,2406000,9860,1.25957529384965,4.05929829240807,-11,4625,1
"18091","LaPorte","Indiana",165211,NA,NA,9973,1537,1609,NA,1124,17,9219,22462,11431,57,98,NA,NA,374,0.989888914646121,731,227865,312,223112000,305215,4036000,9453,869,256159,295,152281000,175238,5128000,9881,1.24827353477234,3.97556965789366,-138,-28294,1
"18093","Lawrence","Indiana",16026,NA,NA,NA,33,NA,NA,NA,NA,6228,NA,13,34,120,NA,6,10729,1.06945023541696,800,134689,168,33189000,41486,2091000,5431,820,134637,164,25909000,31596,1597000,4449,1.19102190431349,3.73487980279263,-20,52,1
"18095","Madison","Indiana",140444,NA,NA,NA,NA,7803,NA,NA,59,NA,NA,4585,104,304,NA,113,10958,0.583621878423321,737,205147,278,164370000,223026,3565000,8233,870,217355,250,115475000,132730,4441000,8363,1.23999436381341,3.91555811541152,-133,-12208,1
"18097","Marion","Indiana",6374,NA,NA,NA,103,NA,NA,156,2,82,NA,NA,58,287,NA,NA,20194,0.691831317815411,231,20075,87,27256000,117990,220000,5797,263,17233,66,22509000,85586,210000,4279,1.03976712687149,3.76320330037077,-32,2842,17
"18099","Marshall","Indiana",103786,NA,NA,590,101,2605,2,1420,4108,5948,27005,1434,242,228,NA,161,0,1.00360167190363,878,206306,235,147628000,168141,3430000,7939,866,179016,207,97034000,112048,3058000,6140,1.22078226129405,3.89976580194439,12,27290,1
"18101","Martin","Indiana",12928,NA,NA,84,NA,NA,NA,NA,26955,1695,NA,11652,29,NA,NA,14,904,1.21232179147176,283,62544,221,54261000,191736,701000,7458,278,61331,221,54470000,195935,737000,6696,1.04953236487849,3.87262237902529,5,1213,9
"18103","Miami","Indiana",101886,NA,NA,NA,NA,NA,NA,NA,12,NA,5260,39287,103,42,NA,24,10299,0.928789148474491,666,175276,263,156913000,235605,3696000,8070,682,178030,261,103993000,152482,3164000,6380,1.32400950898213,3.90687353472207,-16,-2754,1
"18105","Monroe","Indiana",7289,NA,NA,141,NA,638,NA,573,208,3729,NA,NA,110,152,NA,35,123,1.23584994297474,462,52762,114,12998000,28133,754000,5630,481,53538,111,11970000,24886,555000,3750,1.15505009628693,3.75050839485135,-19,-776,1
